,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
58,2009-06-20 21:11:22.776633,2009-06-20 21:41:30.036567,30.121,14.8404,16.74696,12.37347,202.65199,2789561.94346,26.1379,366244.82531,2009-06-20 21:26:26.406600,-0.769,0.081,0.266
59,2009-06-20 21:55:14.785029,2009-06-20 22:05:00.716571,9.76553,21.49255,22.46691,3.31793,192.40124,2478647.28649,16.36876,112733.95799,2009-06-20 22:00:07.750800,-0.837,0.023,0.546
60,2009-06-20 22:05:49.912840,2009-06-20 22:06:41.702360,0.86316,22.80045,23.60047,3.49139,195.44063,2573536.60348,18.72542,10121.77668,2009-06-20 22:06:15.807600,-0.874,0.004,-1.0
61,2009-06-20 22:07:13.841479,2009-06-20 22:08:57.420521,1.72632,19.79045,22.32541,5.14868,197.21614,2665400.46937,19.61462,20427.45866,2009-06-20 22:08:05.631000,0.878,0.01,-0.999
62,2009-06-20 22:10:05.168810,2009-06-20 22:10:45.103990,0.66559,13.39669,21.74564,60.09019,197.55813,2808820.36595,27.39205,7889.51948,2009-06-20 22:10:25.136400,-0.859,0.0,-1.0
63,2009-06-20 22:35:15.186267,2009-06-20 22:51:40.601733,16.42359,14.72242,16.91731,13.08138,199.87652,2678276.69398,27.89127,196961.41854,2009-06-20 22:43:27.894000,-0.782,-0.322,-0.457
64,2009-06-20 22:52:48.883800,2009-06-20 23:18:08.602200,25.32864,14.3955,17.62176,14.43552,199.61879,2734653.34005,28.55639,303364.3421,2009-06-20 23:05:28.743000,-0.842,-0.182,0.591
65,2009-06-20 23:18:42.358301,2009-06-20 23:20:56.683699,2.23876,14.73049,16.12761,14.17306,197.57186,2746515.32004,29.93672,26538.91939,2009-06-20 23:19:49.521000,0.824,0.005,-0.998
66,2009-06-20 23:21:54.995210,2009-06-20 23:22:34.930390,0.66559,17.06832,18.42936,10.09024,198.81154,2808013.38162,27.4933,7939.57466,2009-06-20 23:22:14.962800,-0.77,0.001,-1.0
67,2009-06-20 23:23:42.660220,2009-06-20 23:25:02.530580,1.33117,13.23274,13.75869,15.27473,199.4044,2698441.25356,26.74689,15926.50125,2009-06-20 23:24:22.595400,0.869,0.023,-0.998
68,2009-06-20 23:26:58.561420,2009-06-20 23:28:18.431780,1.33117,14.90181,17.27046,12.55316,196.94925,2871722.36998,25.64617,15730.40769,2009-06-20 23:27:38.496600,0.817,0.002,-1.0
69,2009-06-20 23:29:11.529325,2009-06-20 23:29:45.110675,0.55969,13.65689,15.87701,20.43157,194.45815,2864779.91822,31.19117,6530.16701,2009-06-20 23:29:28.320000,0.883,0.004,-1.0
70,2009-06-20 23:33:56.945467,2009-06-20 23:38:03.299333,4.1059,16.25678,17.98699,8.30287,204.67296,1172344.80319,40.98454,50421.97515,2009-06-20 23:36:00.122400,-0.836,0.682,0.101
71,2009-06-20 23:41:58.162367,2009-06-20 23:42:59.750833,1.02647,15.58918,16.43497,7.368,201.84282,1089631.47649,39.30793,12431.18959,2009-06-20 23:42:28.956600,-0.946,-0.614,0.014
